component_group,specific_component,photo_count,video_count,date_range,stage_counts,example_files,model_groups,model_part_count,model_part_examples,model_confidence_mix,digital_twin_readiness,measurement_priority,job_status,job_action,reconciliation_status
body_exterior,body_shell_with_doors_removed,3,0,2026-03-23 to 2026-05-17,rust_assessment:2|removed_parts_cataloguing:1,20260323_201950.jpg|20260517_195511_gp_iFvWFVNw.jpg|20260517_195628_gp_Wog59oFg.jpg,body,12,left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|left_door_open_reference|right_door_hinge_pin_cap_1|right_door_hinge_pin_cap_2|right_door_hinge_pin_cap_3,L3 exterior material reference:8|L0 envelope:2|visual only:1|L2 panel rib reference:1,represented_needs_measurement_refinement,P1,,,
body_exterior,exterior_badge_or_emblem_detail,2,0,2026-03-29,baseline_walkaround:2,20260329_122723.jpg|20260329_122723_gp_aRwFMcGg.jpg,body,12,left_diesel_badge|left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|right_diesel_badge|right_door_hinge_pin_cap_1|right_door_hinge_pin_cap_2,L3 exterior material reference:8|L2 visible-detail primitive:2|L0 envelope:2,represented_needs_measurement_refinement,P1,,,
body_exterior,front_panel_headlamp_surround,1,0,2026-04-12,hardware_refinish:1,20260412_223534.jpg,body,12,grille_panel|hood_rear_cowl_gap_shadow|left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|left_door_outer_skin_lower_pressing|left_door_outer_skin_upper_pressing,L3 exterior material reference:9|L0 envelope:2|L2 panel rib reference:1,represented_needs_measurement_refinement,P1,,,
body_exterior,front_panel_lighting_mount_area,1,0,2026-04-12,removed_parts_cataloguing:1,20260412_223216.jpg,body,12,grille_panel|hood_rear_cowl_gap_shadow|left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|left_door_outer_skin_lower_pressing|left_door_outer_skin_upper_pressing,L3 exterior material reference:7|L4 service-reference detail:3|L0 envelope:1|L2 panel rib reference:1,represented_needs_measurement_refinement,P1,,,
body_exterior,fuel_filler_side_panel,2,0,2026-03-14,baseline_walkaround:2,20260314_180058.jpg|20260314_180059_gp_x5fsOjjA.jpg,body,12,left_fuel_filler_outer_ring|left_fuel_or_body_plug_reference|right_fuel_filler_outer_ring|right_fuel_or_body_plug_reference|grille_panel|hood_rear_cowl_gap_shadow|left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2,L3 exterior material reference:8|L2 visible-detail primitive:2|L0 envelope:1|L2 panel rib reference:1,represented_needs_measurement_refinement,P1,,,
body_exterior,hood_and_front_windshield_overview,2,0,2026-03-17,baseline_walkaround:2,20260317_165030.jpg|20260317_165030_gp_j49pTsog.jpg,body,12,hood_center_raised_rib|hood_closed_reference|hood_crowned_closed_skin|hood_front_lip_shadow|hood_front_rolled_lip_surface|hood_left_hinge_axis|hood_left_outer_rib|hood_lock_receiver_plate,L2 panel rib reference:2|L4 gallery-shaped surface:2|L3 exterior material reference:2|L1 visible-detail primitive:2|L4 online-reference detail:2|L0 envelope:1|L4 service-reference detail:1,represented_needs_measurement_refinement,P1,,,
body_exterior,panel_detail_and_markings,3,1,2026-03-29,baseline_walkaround:3,20260329_051759_gp_xEzrDYhQ.jpg|20260329_051805_gp_oRw8XV8Q.jpg|20260329_095150_gp_3O2NOXyw.mp4,body,12,grille_panel|hood_rear_cowl_gap_shadow|left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|left_door_outer_skin_lower_pressing|left_door_outer_skin_upper_pressing,L3 exterior material reference:9|L0 envelope:2|L2 panel rib reference:1,represented_needs_measurement_refinement,P1,,,
body_exterior,rear_side_opening,1,0,2026-03-23,removed_parts_cataloguing:1,20260323_201957.jpg,body,12,left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|left_front_wheel_arch_shadow|left_rear_wheel_arch_shadow|right_door_hinge_pin_cap_1|right_door_hinge_pin_cap_2,L3 exterior material reference:8|L2 visual aperture reference:4,visual_reference_modelled,P3,,,
body_exterior,returned_painted_front_panel_headlamp_surround,2,0,2026-05-23,hardware_refinish:2,20260523_223504_gp_F0FomIPA.jpg|20260523_223518_gp_f6ReoLCg.jpg,body,12,grille_panel|hood_rear_cowl_gap_shadow|left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|left_door_outer_skin_lower_pressing|left_door_outer_skin_upper_pressing,L3 exterior material reference:9|L0 envelope:2|L2 panel rib reference:1,represented_needs_measurement_refinement,P1,,,
body_exterior,tub_corner_hinge_pin_repair,3,0,2026-05-17,rust_assessment:3,20260517_195108_gp_elCiXzKw.jpg|20260517_195123_gp_LxOfgsPA.jpg|20260517_195241_gp_RzJdcAZg.jpg,body,12,left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|right_door_hinge_pin_cap_1|right_door_hinge_pin_cap_2|right_door_hinge_pin_cap_3|right_door_hinge_pin_cap_4,L3 exterior material reference:9|L1 visible-detail primitive:2|L0 envelope:1,represented_needs_measurement_refinement,P1,,,
