gate,measurement_or_test,nominal_intent,required_evidence,release_status
M1,"full-width dashboard face perimeter, cowl/A-pillar/column/firewall structural keep-outs, attachment flange and true usable-face centreline",170 mm normal face plus only the compact right control channel within a 1260 x 220 coordinate envelope; not a vehicle dimension,rigid full-size template fitted and trimmed; front/rear ruler photos; centreline derived from signed usable face; owner-signed perimeter,HOLD all metal and vehicle cuts
M2,"OEM glovebox exact asymmetric outline, hinge/latch axes, knob, instruction plate, rear depth and full opening sweep",preserve original appearance and operation,"direct trace/rubbing, mounted donor, sweep photos and clearance record",HOLD
M3,"OEM speedometer/cluster exact outline, mounts, depth, cables/wiring and seated-driver sight line",retain original assembly; relocate only as signed,"direct trace/rubbing, rear depth gauge and driver-view photos",HOLD
M4,"LCD active area, aperture, bezel and corner radii",9-inch 16:9 active 199.2 x 112.1; 228.6 diagonal; aperture 202 x 115 reference,manufacturer mechanical drawing and caliper confirmation,HOLD
M5,"LCD rear body, mount centres, mass, connectors, cable bend, cooling and service removal",screen centre X630.0/Y144.0; exactly coincident with fascia centreline and inner-vent-pair midpoint; separate rear structural carrier,"rear-body rubbing, depth record, bracket mock-up, centreline check and cabin-side removal test",HOLD
M6,"seven bought Schneider-style selectors and separate hazard: part code, head/lever sweep, bush, flange, anti-rotation and contact-block stack",single horizontal row; 39 mm pitch; selector panel cut Ø22.5; 68 mm rear envelope; hazard Ø16 reference,part-code photo plus caliper sheet for every part and 1:1 horizontal right-channel trial including hand clearance,HOLD
M7,"four matched generic vent faces, panel opening, retention, spigot OD and rear depth",published silver/chrome ABS family: Ø87 face; Ø75 panel-opening reference,"one received four-piece batch, seller drawing/listing, caliper record and fitted retainer trial for all four",HOLD
M8,"four ducts, plenum balance, actual hose ID/bend radii, selector rear stacks and rear/service clearances",sampled vent spigot controls duct size; no crushed hose or selector/duct/cluster/column clash,"full rear mock-up, obstruction photos and blower-flow comparison",HOLD
M9,complete full-size prototype and driver/service clearances,one-piece shallow face with only a compact right control channel; OEM glovebox/cluster; LCD and inner-vent-pair midpoint exactly on fascia centreline; all four vent tops aligned with LCD bezel top,"owner-signed seated-driver reach plus knee/lever/column clearance, glovebox sweep, centre/symmetry, top-datum, visibility and removal checks",HOLD
M10,"labels, continuity, relay/controller mapping and live functions",exact switch schedule including ENGINE RUN/STOP; key OFF authoritative; manual stop cable retained,"continuity sheet and live wiper park plus washer, OFF/SIDE/HEAD truth table plus dip, measured blower, A/C safety/fan, spots, AUX, isolated hazard, ENGINE run/stop, key-off and manual-cable fallback tests",HOLD until passed
